#-------------------------------------------------------------------
# A2744 Spectroscopic Redshift Compilation.
# Benotto P. - Last compiled 2026-05-26
# Please always refer to the latest version of this catalogue: 
# https://pietrobenotto.github.io/research/A2744_redshift_compilation.txt
#
# This catalog compiles spectroscopic redshifts for the A2744 field.
# Redshifts within a 20' radius centered on the cluster are kept.
# The redshifts come from the following surveys:
#
#   - ASTRODEEP-JWST          (Merlin et al. 2024)
#   - UNCOVER                 (Prince et al. 2024)
#   - All the Little Things   (ALT, Naidu et al. 2024)
#   - NIRISS                  (Watson et al. 2025)
#   - DJA redshift compilation (Brammer & Valentino 2025,
#                               https://zenodo.org/records/15472354)
#                               v4.4, grade == 3 only
#   - MUSE surveys compilation:
#       Owers et al. 2011, Braglia et al. 2009, GLASS,
#       Richard et al. 2021, Bergamini et al. 2022,
#       Caminha MUSE DDT 2022, MUSE 2025 (PI: Matthee)
#-------------------------------------------------------------------
# ( 1)  RA           [Right Ascension J2000 (deg)]
#                       Right ascension from the same catalogue as the redshift.
# ( 2)  DEC          [Declination J2000 (deg)]
#                       Declination from the same catalogue as the redshift.
# ( 3)  ID           [Source identifier]
#                       Source identifier. A plain number is the ASTRODEEP ID of the
#                       nearest match within 1 arcsec. If no match exists, the original
#                       catalogue number is kept with a 3-letter prefix indicating its
#                       source. If multiple objects with different redshifts map to the
#                       same ID, a letter suffix is appended (_a, _b, ...).
# ( 4)  zspec        [Spectroscopic redshift]
#                       Spectroscopic redshift. If multiple sources lie within 1 arcsec
#                       and agree within 5% in redshift, only one entry is retained.
# ( 5)  source       [Origin of the redshift value]
# ( 6)  F090W_mag    [JWST/NIRCam F090W (AB magnitude)]
#                       ASTRODEEP KRON flux. -99 if no photometry available.
# ( 7)  F200W_mag    [JWST/NIRCam F200W (AB magnitude)]
#                       ASTRODEEP KRON flux. -99 if no photometry available.
# ( 8)  F444W_mag    [JWST/NIRCam F444W (AB magnitude)]
#                       ASTRODEEP KRON flux. -99 if no photometry available.
#-------------------------------------------------------------------
        RA          DEC            ID    zspec                               source  F090W_mag  F200W_mag  F444W_mag 
 3.5968680  -30.4009510         10875   0.9440                            ASTRODEEP    -99.000     24.580     25.013 
 3.5839037  -30.4020189         10881   0.3010                Bergamini22_MUSE_7668     28.016     27.308     27.792 
 3.5780830  -30.3996230         10883   0.7800                            ASTRODEEP     24.449     24.247     24.763 
 3.5708700  -30.4015860         10886  12.9080                            ASTRODEEP    -99.000     28.966     29.381 
 3.5734900  -30.4004970         10889   1.9729                        Niriss_Watson     25.218     24.079     23.870 
 3.5714640  -30.4015500         10891   2.8430                            ASTRODEEP     29.201     28.220     28.473 
 3.5839860  -30.3992380       10909_a   0.3200                            ASTRODEEP     20.037     19.321     20.211 
 3.5844726  -30.3992893       10909_b   1.8868                Bergamini22_MUSE_2.7c     20.037     19.321     20.211 
 3.5945682  -30.4014357         10919   0.2116                              UNCOVER    -99.000     27.442     28.514 
 3.5977268  -30.4006015         10920   0.3155                Bergamini22_MUSE_8216    -99.000     23.398     24.446 
 3.5502599  -30.4011222         10925   2.6539                                  ALT     26.823     26.145     26.304 
 3.6141221  -30.3991675         10926   0.7273                                  ALT    -99.000     20.792     20.976 
 3.5677690  -30.4012530         10927   6.5720                            ASTRODEEP    -99.000     27.657     27.439 
 3.5925000  -30.4014630         10934   9.7990                            ASTRODEEP    -99.000     27.275     27.537 
 3.6085570  -30.4009090         10958   1.3314                        Niriss_Watson    -99.000     25.932     25.920 
 3.6025833  -30.4010604         10959   0.2678                         Richard_2021    -99.000     27.284     27.686 
 3.6038380  -30.3990970         10960   0.3030                            ASTRODEEP    -99.000     21.905     22.859 
 3.6018470  -30.4009630         10965   4.4920                            ASTRODEEP    -99.000     27.495     27.169 
 3.5683368  -30.3995058         10968   2.5820                                  ALT     25.706     23.203     22.004 
 3.5798850  -30.4008580         10976   0.6180                            ASTRODEEP     25.233     25.145     25.738 
 3.6117891  -30.4010730         10980   5.4609                                  ALT    -99.000     28.047     27.445 
 3.5844540  -30.3983280       10981_a   0.3240                            ASTRODEEP     20.863     20.080     21.051 
 3.5848259  -30.3984432       10981_b   3.0538                                  DJA     20.863     20.080     21.051 
